website_name,competence_date,country_code,currency_code,brand,category1_code,category2_code,category3_code,product_code,title,itemurl,imageurl,full_price,price,full_price_eur,price_eur,flg_discount
Burberry,2023-11-17,USA,USD,BURBERRY,MAN,ACCESSORIES,HATS & GLOVES,80362371,Cashmere-lined Exaggerated Check Wool and Leather Gloves,https://us.burberry.com/cashmere-lined-exaggerated-check-woolleather-gloves-p80362371,https://assets.burberry.com/is/image/Burberryltd/E72BC280-1A6C-48F8-88ED-26DB4FC74309,530.0,530.0,488.92,488.92,0
Burberry,2023-11-17,USA,USD,BURBERRY,WOMAN,CLOTHES,KNITWEAR,80391531,Check Wool Blend Cardigan,https://us.burberry.com/check-wool-blend-cardigan-p80391531,https://assets.burberry.com/is/image/Burberryltd/36EE2396-2FBF-45A3-BAE0-B13E46881048,1290.0,1290.0,1190.03,1190.03,0
Burberry,2023-11-17,USA,USD,BURBERRY,MAN,CLOTHES,POLOS & T-SHIRTS,80392651,Logo Detail Polo Shirt,https://us.burberry.com/logo-detail-polo-shirt-p80392651,https://assets.burberry.com/is/image/Burberryltd/81D0505D-B743-4EB2-98C4-803A907B2F04,590.0,590.0,544.28,544.28,0
Burberry,2023-11-17,USA,USD,BURBERRY,WOMAN,ALL GIFTS,N.A.,80405971,Side Stripe Vintage Check Stretch Cotton Trousers,https://us.burberry.com/side-stripe-vintage-check-stretch-cotton-trousers-p80405971,https://assets.burberry.com/is/image/Burberryltd/34FB56FB-9448-4539-BE98-B179054267AC,800.0,800.0,738.0,738.0,0
Burberry,2023-11-17,USA,USD,BURBERRY,MAN,ACCESSORIES,SUNGLASSES,40835931,Square Frame Sunglasses,https://us.burberry.com/square-frame-sunglasses-p40835931,https://assets.burberry.com/is/image/Burberryltd/2D9CA456-1470-4AD3-AAA0-AFCD33A81D83,410.0,410.0,378.22,378.22,0
Burberry,2023-11-17,USA,USD,BURBERRY,WOMAN,ACCESSORIES,WALLETS & CARD CASES,80623791,Grainy Leather TB Card Case,https://us.burberry.com/grainy-leather-tb-card-case-p80623791,https://assets.burberry.com/is/image/Burberryltd/4F70A107-8BDB-4946-A39D-1D9508537993,330.0,330.0,304.42,304.42,0
Burberry,2023-11-17,USA,USD,BURBERRY,KIDS,BABY,TOPS,80624941,Logo Script Print Cotton Piqué Polo Shirt,https://us.burberry.com/logo-script-print-cotton-pique-polo-shirt-p80624941,https://assets.burberry.com/is/image/Burberryltd/D418994C-58D4-4A3B-AEA6-539FDAD28B21,190.0,190.0,175.27,175.27,0
Burberry,2023-11-17,USA,USD,BURBERRY,MAN,ACCESSORIES,WALLETS & CARD CASES,80626821,Grainy Leather TB Folding Card Case,https://us.burberry.com/grainy-leather-tb-folding-card-case-p80626821,https://assets.burberry.com/is/image/Burberryltd/2056B91A-F9B6-4D7A-857A-5E8DEBD00C6A,380.0,380.0,350.55,350.55,0
Burberry,2023-11-17,USA,USD,BURBERRY,WOMAN,OUTERWEAR,QUILTED JACKETS,80627551,Diamond Quilted Thermoregulated Hooded Jacket,https://us.burberry.com/diamond-quilted-thermoregulated-hooded-jacket-p80627551,https://assets.burberry.com/is/image/Burberryltd/B9D76A82-C8BE-4E7A-841C-D8E51A1C79EF,1350.0,1350.0,1245.38,1245.38,0
Burberry,2023-11-17,USA,USD,BURBERRY,WOMAN,BAGS,CROSSBODY,80630821,Medium Lola Bag,https://us.burberry.com/medium-lola-bag-p80630821,https://assets.burberry.com/is/image/Burberryltd/C1940F12-CF33-4C0B-A0F4-914CC72581E1,2790.0,2790.0,2573.8,2573.8,0
Burberry,2023-11-17,USA,USD,BURBERRY,MAN,MEN,SMALL GIFTS,80641611,Logo Engraved Palladium-plated Cufflinks,https://us.burberry.com/logo-engraved-palladium-plated-cufflinks-p80641611,https://assets.burberry.com/is/image/Burberryltd/1D4A72C8-EC9D-45C8-9C24-8896314BF908,350.0,350.0,322.87,322.87,0
Burberry,2023-11-17,USA,USD,BURBERRY,MAN,CLOTHES,KNITWEAR,80643661,Monogram Motif Cashmere Funnel Neck Sweater,https://us.burberry.com/monogram-motif-cashmere-funnel-neck-sweater-p80643661,https://assets.burberry.com/is/image/Burberryltd/8C90FEB4-E516-4028-AAE8-03C19D8ED069,1290.0,1290.0,1190.03,1190.03,0
